"user_detail_name","text","text 2","text 3","text 4","text 5","content_wrap","iplocation"
"lisza","4分","满意","景色4","趣味4","性价比4","成都文殊坊位于文殊院历史文化保护区内，文殊坊以禅文化、民俗文化为主题，体现老成都人文历史精髓。它以禅文化、民俗文化为主题，体现老成都人文历史精髓，成都庙街与成都会馆一街之隔，同样为传统老建筑。庙街主要包括旅游精品古玩、旅游民俗用品、文化餐饮休闲等。路过可以去看看，感觉没必要特地过去。",""
"布晓呆","5分","超棒","景色5","趣味5","性价比5","文殊坊位于成都市中心人民中路旁，作为成都中央休闲旅游区，与传统城市商务中心CBD相融合，依托省级重点文物保护单位文殊院，形成东至北大街、草市街，南至白家塘街、通顺桥街，西至人民中路，北至大安西路规模的大范围地区。","IP属地:重庆"
"不做牧云","5分","超棒","","","","从地铁1号线文殊院站K口出站后，先前往文殊院，领取免费香火虔诚礼佛，依次参观天王殿、三大士殿、大雄宝殿、说法堂、宸经楼和文殊阁等大殿，感受佛教文化底蕴。","IP属地:江苏"
"hahagaotie","5分","超棒","景色5","趣味5","性价比5","文殊坊是一个比较具有文化特色的古寺。是一个历史文化深厚的景点。景区门口的牌坊比较有特点适合拍照。在这里还有很多卖成都特产或是纪念品的。",""
"笑一笑很开心","4分","满意","景色4","趣味4","性价比5","文殊坊位于成都的青羊区，街道两旁都是传统老建筑。里面有各种商铺，卖旅游民俗用品，还有文化餐饮休闲和售卖蜀锦的店铺，很漂亮。",""
"yuyanjia~","4分","满意","景色4","趣味4","性价比4","文殊院是隋朝年间修建的禅林古寺，经政府二期修建，现在已成为一处集禅宗古迹，商业休闲娱乐于一体的历史文化街区，街上有臭豆腐，担担面等特色小吃。",""
"Mindi3z","5分","超棒","","","","古老的寺庙,宁静,良好的氛围,交通便利,周围有一条小步行街,早上崇拜圣物。包括千手观音等","IP属地:未知"
"老挝彭于晏","4分","满意","景色4","趣味4","性价比4","文殊仿是围绕着文殊院打造的一个旅游休闲观光配套，再加上这边的佛学文化与一体的一个旅游区域，直接乘坐成都地铁去到文殊院站出来，走不远的地方就能够到达。",""
"路上50","3分","不错","景色3","趣味3","性价比3","宁静与繁华，古朴与时尚，有老成都的记忆和新成都的畅想，双面生活在文殊坊体现得淋漓极致...依靠文殊院打造的文殊坊商业街，有10多年了，一直不温不火，作为一处闹中取静的景区，在里面走走，品尝一下成都美食也是不错","IP属地:四川"
"CD云上","4分","满意","景色4","趣味4","性价比4","文殊坊是坐落在成都市市中区的一个仿古建筑群，交通方便，地铁一号线文殊院站下步行100米即到，公交车线路更是密密麻麻……一般来文殊坊的都是过来游览文殊院，然后顺便过来逛逛，人不多，有几个成都小吃名店，成都男神李伯伯来的茶铺，加上几家客栈。下午没事喝喝茶，感受一下成都人的小生活还是不错的。",""
"khcc","4分","满意","景色4","趣味4","性价比4","文殊院位于文殊坊内，从人民路进去会经过一个大牌坊，非常醒目，旁边有个大的雕像，介绍这里的历史，不少人在这里拍照。里面的房子都是保留着原有风格，但吸引力不大。",""
"谢徐疯子","5分","超棒","景色5","趣味5","性价比5","成都文殊坊

成都小众旅游景区推荐，以前到成都总会选择去锦里，宽窄巷子，成都大熊猫繁育研究基地，春熙路等，但是我这次去逛完文文殊坊，发现这个地方不仅人少，美食、建筑也是格外让我惊喜。

作为成都中央休闲旅游区，文殊坊很少有人来，其实在这里才能感受到纯正的成都市井文化，虔诚的人来文殊院烧香拜佛，悠闲的人来文殊坊采耳喝茶，好吃的人来这里品尝美食，一切都非常的nice。",""
"wbclawyer","4分","满意","景色4","趣味4","性价比4","去文殊院游览的途中，经过文殊坊，是街上的一处牌坊，古香古色的，建筑比较精美，是一座四柱三门过街牌坊。经过牌坊后，进入一片传统的商业街区，周边美食名店不少，著名的有双流老妈兔头等等",""
"晓筱语","4分","满意","景色4","趣味4","性价比4","文殊坊是一个文化美食街区，紧邻着文殊院而建，里面有很文艺小店，传统美食小吃店等，比较有名的就是洞子口张老二凉粉店，还有永远都在排队的宫廷糕点铺，街道修得古色古香很文艺，也挺适合拍照。",""
"wind3757","4分","满意","景色4","趣味4","性价比4","文殊阁是文殊坊里最重要的建筑之一，也是整个文殊坊最醒目的建筑，文殊阁也是成都的佛教图书馆，里面有大量的佛教书籍，目前不可以进入参观。",""
"_yao_yao_","4分","满意","景色4","趣味4","性价比4","文殊坊和著名的千年古寺文殊院仅一墙之隔，时间足够，可以一起游玩。文殊坊不要门票。逛逛古街小巷，吃吃小吃美食，看看典型川西地方特色的民居建筑群。是集旅游观光、休闲度假、餐饮美食、特色购物、古玩字画、养生康体、娱乐演出等功能于一体的院落商街。",""
"三晋龙少","5分","超棒","景色5","趣味5","性价比5","成都非常有名的一个景点，园内景色非常漂亮，树木茂盛，干净整洁。文殊坊建筑风格很有特色，佛教徒在此拜佛的人很多，来成都必到打卡之处。",""
"匿名用户","5分","超棒","景色5","趣味5","性价比5","很好看，挺精彩，附近美食很多😄","IP属地:四川"
"爪哇康熙","5分","超棒","景色5","趣味5","性价比5","非常清净雅致的地方，古香古色，在这里可以找到内心的平静。虽然四周不乏高楼大厦，也挡不住这些许地方的宁静和清爽。值得过来的好地方。古韵成都别一样的美丽。喜欢成都，成都府，足以证明它的大。",""
"三晋龙少","5分","超棒","景色5","趣味5","性价比5","文殊坊一一位于成都市青羊区文殊院街66号，紧邻成都著名的景区文殊院。文殊街清幽素静，干净整洁，外地来成都旅游的客人很多，文殊坊是游客&quot;怀旧寻古、休闲娱乐的好去处&quot;。",""
"子沐春熙","2分","一般","景色4","趣味2","性价比4","如果大家不是带小孩去的还是慎重考虑吧，内容有点哄小孩，对象范围太小了，我是自己去旅游的，感觉花两百多浪费了下时间，可能是我预期太高，为了表演去的这哈，虽然内容是有科普成都文化，但是还是太低龄了，有小孩的话就很不错哈，文殊坊还是值得逛的，表演有点金玉其外败絮其中，灯光确实很不错，但是就那些动作就那几个人跳的都不是很齐。。。只能说so so啦","IP属地:四川"
"脚步丈量天涯的人","4分","满意","景色4","趣味4","性价比4","文殊坊位于成都市中心繁华地段，有地铁直达，交通便利，这里是当地重点打造的新商业街区，定位与宽窄巷子一样，都由很多老建筑组成，环境一流。",""
"_CFT01****5543538","5分","超棒","景色5","趣味5","性价比5","美食云集（冰凉粉，三大炮，豆花，担担面，钟水饺，兔头，卤味），近五一，景点人山人海（文殊院，宽窄巷子，熊猫基地，泰迪熊博物馆，武候祠），天天火锅（蜀大侠，月满大江，熊猫天下等）有机会再来！",""
"筱风姿","4分","满意","景色4","趣味4","性价比4","有一条街
他很古老
也和现代感很融合
那就是“文殊坊”
虽说这里不是那么著名
也不是成都必到的景点
但，他有自己的魅力



周边推荐景点：文殊院、鼓楼南街门楼
周边美食推荐：香园、洞子口张老二凉粉、严太婆锅魁等
文殊坊主打：古玩收藏、艺术品交易、茶园茶楼、音乐餐吧等等；


特殊活动：庙会啊、灯会啊，传统活动都会在这里举行，除了这些，穿上汉服，来拍照真的很不错，街道很古朴典雅。",""
"山在穷游","5分","超棒","景色5","趣味5","性价比5","当你看到文殊坊的时候，那我要恭喜你，因为你离文殊院已经非常近了。超过这个门房向里面走不多，远的距离就可以到达文殊院，很多朋友会因为文殊坊是在交通路口忽略他的存在，其实这个门房也是有一定的历史的，而且他的建筑也颇具有特色。",""
"魔女锦鲤","3分","不错","景色3","趣味3","性价比3","来到成都就要走走具有历史韵味的地方，这天除了寻找美食外，顺便也来到了文殊院。文殊坊就是在文殊院里面。文殊坊这里的建筑充满了老成都的历史风韵，街道上有美食店，卖古玩的，卖旅游精品的，集合多种于一体的商业街道。不过这里相对没有锦里和宽窄巷子的热闹。",""
"广州中奖小锦鲤","4分","满意","景色4","趣味4","性价比4","周边的配套也是相当的不错，平常过来的人就相当的多，还有一个初相遇剧场，就在这里附近，交通也是四方八达，图书馆里面也有比较多的经文书籍。",""
"三晋龙少","5分","超棒","景色5","趣味5","性价比5","文殊坊位于成都市人民路，来成都必到打卡之地。景区内景色非常漂亮，树木茂盛，植被茂盛，干净整洁。院内有文殊阁及许多佛教建筑，朝拜的人很多，尤其是学生，因文殊菩萨是智慧的象征。",""
